year,april,may,june,july,aug,sept,oct,seasonal_avg,annual_avg
1980,51.6,62.4,66.5,74.9,75.1,67.7,50.7,64.12857143,50.9
1981,52.9,59.6,69.7,73.2,69.9,62.7,49.2,62.45714286,50.5
1982,46.7,62.2,65.2,72.6,67.6,62.8,51.9,61.28571429,49.8
1983,47.2,56.7,68.4,73.9,73.5,64.7,51.9,62.32857143,50.6
1984,46.3,57.3,68.6,69.9,71.1,60.9,57.5,61.65714286,49.8
1985,53.1,62,66.9,72.8,70.7,66,54.4,63.7,51.6
1986,51.7,62.5,70.3,74.8,70,64.4,54.5,64.02857143,51.6
1987,49.6,62.2,71.8,77.2,72.8,65.1,47.9,63.8,52.2
1988,48.5,61.2,70.4,77.7,75.6,62.2,48.9,63.5,51.2
1989,47.9,58.8,71,73.2,71,64.8,54.6,63.04285714,50.5
1990,50.3,58.1,69.6,73.4,70.7,63.6,56,63.1,53.2
1991,50.8,66.1,70.4,75.2,72.4,61.9,52,64.11428571,52.2
1992,46.7,55.4,64.5,71.2,67,61.2,47.5,59.07142857,48.1
1993,47.4,60.7,67.3,74.5,72,62.1,49.6,61.94285714,49.8
1994,54.2,56.9,72.9,75.7,69.8,63.6,52.5,63.65714286,51.5
1995,48.2,59,68.6,74.7,74.3,64.2,55.7,63.52857143,50.9
1996,49.5,57.6,70.2,71.4,70.5,63.7,51.9,62.11428571,49.5
1997,46.6,54.5,66.6,71.5,71.2,63.9,54,61.18571429,50.5
1998,53.6,63.8,69.1,73.7,73.1,69.4,55.5,65.45714286,54.9
1999,50.6,61.2,69.6,77.4,73.1,64.6,50.6,63.87142857,52.6
2000,49.6,62.2,69,69.9,70.9,62.9,55.6,62.87142857,51.3
2001,51.9,61.9,70.8,71.2,75.3,64.5,54.7,64.32857143,53.2
2002,53.7,59.3,71.4,75.8,76.2,66.9,52.3,65.08571429,53.5
2003,49.6,58.7,68.1,74,75.2,65.8,51.4,63.25714286,51.3
2004,52,66.6,67,71.3,72.3,66.7,53.5,64.2,52.2
2005,52.4,57,72.9,76.5,74.7,69.3,56.5,65.61428571,53.3
2006,54.5,60.3,69.4,75.9,75.4,62.8,52.5,64.4,54.2
2007,48.5,63.7,72.4,73.9,74.5,68.7,61.2,66.12857143,53.2
2008,53.4,57.7,72.7,74.7,70.9,66.7,52.4,64.07142857,52.3
2009,51.8,60.9,69.1,71.4,74.2,64.4,52.3,63.44285714,52
2010,55.2,63.2,73.8,78,74.8,68.1,53.8,66.7,53.7
2011,53.1,64.3,72.2,78.7,73.7,67.3,54.2,66.21428571,53.7
2012,52.2,66.1,70,77.8,73.5,65.5,54.3,65.62857143,55
2013,52.3,60.4,71.3,76.4,70.9,65,56.1,64.62857143,52.5
2014,50.6,61.7,71.3,74.1,70.1,66.3,55.9,64.28571429,50.8
2015,52,67.3,71.4,74.3,72.8,69.2,52.9,65.7,52.9
2016,50.4,59.6,70.9,77.9,77.7,70.8,57.3,66.37142857,54.3
2017,57,59.7,71.6,76.4,70.8,67.4,59.2,66.01428571,54.1
2018,46.4,66.7,70,75.7,75.6,69.8,56.1,65.75714286,53
2019,54.1,64.2,70.2,77.4,74,69.8,57.3,66.71428571,53.5
2020,48.2,58.6,71.2,79.5,76.1,65.2,55.9,64.95714286,54.5
2021,52.7,60.6,72.1,76.2,76.4,67.8,60.2,66.57142857,54.5
2022,49.9,63.1,70.6,76,75.3,66.2,51.9,64.71428571,52.8
2023,54.5,58.6,68.6,77.3,73.6,67.9,57.2,65.38571429,55
2024,54.3,65.1,73.9,79.3,72.6,65.6,56.2,66.71428571,58.3
