year,month,monthly_rain,monthly_temp,disease occurance,,,,,,,,,,,,,
2024,jan,6.37,32.9,0,,,,,,,,,,,,,
2024,feb,2.02,37.9,0,,,,,,,,,,,,,
2024,mar,3.09,45.5,0,,,,,,,,,,,,,
2024,apr,4.63,54.4,0,,,,,,,,,,,,,
2024,may,3.76,65.1,2,,,,,,,,,,,,,
2023,jan,5.23,38.8,0,,,,,,,,,,,,,
2023,feb,1.01,38.9,0,,,,,,,,,,,,,
2023,mar,2.42,41.2,0,,,,,,,,,,,,,
2023,apr,3.78,54.5,0,,,,,,,,,,,,,
2023,may,1.05,58.6,0,,,,,,,,,,,,,
2023,jun,2.48,68.6,0,,,,,,,,,,,,,
2023,jul,5.63,77.3,0,,,,,,,,,,,,,
2023,aug,2.69,73.6,0,,,,,,,,,,,,,
2023,sep,4.28,67.9,0,,,,,,,,,,,,,
2023,oct,2.3,57.2,0,,,,,,,,,,,,,
2023,nov,2.45,42.6,0,,,,,,,,,,,,,
2023,dec,4.47,40.2,0,,,,,,,,,,,,,
2022,jan,2.17,26.1,0,,,,,,,,,,,,,
2022,feb,3.02,33,0,,,,,,,,,,,,,
2022,mar,1.53,42.1,0,,,,,,,,,,,,,
2022,apr,3.61,49.9,0,,,,,,,,,,,,,
2022,may,6.32,63.1,0,,,,,,,,,,,,,
2022,jun,3.46,70.6,0,,,,,,,,,,,,,
2022,jul,2.41,76,0,,,,,,,,,,,,,
2022,aug,4.78,75.3,0,,,,,,,,,,,,,
2022,sep,3.62,66.2,3,,,,,,,,,,,,,
2022,oct,3.06,51.9,0,,,,,,,,,,,,,
2022,nov,2.86,46.1,0,,,,,,,,,,,,,
2022,dec,5.2,33,0,,,,,,,,,,,,,
2021,jan,1.17,32.8,0,,,,,,,,,,,,,
2021,feb,2.53,29.9,0,,,,,,,,,,,,,
2021,mar,2.74,43.7,0,,,,,,,,,,,,,
2021,apr,2.62,52.7,0,,,,,,,,,,,,,
2021,may,3.75,60.6,0,,,,,,,,,,,,,
2021,jun,2.71,72.1,0,,,,,,,,,,,,,
2021,jul,2.81,76.2,0,,,,,,,,,,,,,
2021,aug,2.54,76.4,0,,,,,,,,,,,,,
2021,sep,9.32,67.8,0,,,,,,,,,,,,,
2021,oct,3.7,60.2,0,,,,,,,,,,,,,
2021,nov,1.55,42,0,,,,,,,,,,,,,
2021,dec,0.96,39.1,0,,,,,,,,,,,,,
2020,jan,2.73,34.4,0,,,,,,,,,,,,,
2020,feb,2.06,38.1,0,,,,,,,,,,,,,
2020,mar,3.07,45,0,,,,,,,,,,,,,
2020,apr,4.1,48.2,0,,,,,,,,,,,,,
2020,may,4.67,58.6,0,,,,,,,,,,,,,
2020,jun,2.75,71.2,0,,,,,,,,,,,,,
2020,jul,2.71,79.5,0,,,,,,,,,,,,,
2020,aug,3.02,76.1,0,,,,,,,,,,,,,
2020,sep,2.49,65.2,0,,,,,,,,,,,,,
2020,oct,2.2,55.9,0,,,,,,,,,,,,,
2020,nov,2.08,47.8,0,,,,,,,,,,,,,
2020,dec,4.49,33.5,0,,,,,,,,,,,,,
2019,jan,4.37,29.5,0,,,,,,,,,,,,,
2019,feb,3.06,32.4,0,,,,,,,,,,,,,
2019,mar,4.25,37.5,0,,,,,,,,,,,,,
2019,apr,4.07,54.1,0,,,,,,,,,,,,,
2019,may,6.98,64.2,0,,,,,,,,,,,,,
2019,jun,3.69,70.2,0,,,,,,,,,,,,,
2019,jul,6.89,77.4,0,,,,,,,,,,,,,
2019,aug,1.8,74,0,,,,,,,,,,,,,
2019,sep,0.49,69.8,0,,,,,,,,,,,,,
2019,oct,6.34,57.3,0,,,,,,,,,,,,,
2019,nov,3.03,39.9,0,,,,,,,,,,,,,
2019,dec,3.61,35.1,0,,,,,,,,,,,,,
2018,jan,4.37,26.6,0,,,,,,,,,,,,,
2018,feb,4.48,36.7,0,,,,,,,,,,,,,
2018,mar,1.75,35.8,0,,,,,,,,,,,,,
2018,apr,4.79,46.4,0,,,,,,,,,,,,,
2018,may,5.14,66.7,0,,,,,,,,,,,,,
2018,jun,4.5,70,0,,,,,,,,,,,,,
2018,jul,9.36,75.7,0,,,,,,,,,,,,,
2018,aug,5.18,75.6,0,,,,,,,,,,,,,
2018,sep,11.5,69.8,0,,,,,,,,,,,,,
2018,oct,2.73,56.1,0,,,,,,,,,,,,,
2018,nov,6.59,39.7,0,,,,,,,,,,,,,
2018,dec,5.79,36.3,0,,,,,,,,,,,,,
