,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1972,,5.66,2.65,4.43,4.43,11.84,3.42,2.12,1.02,1.5,6.74,6.45,
1973,3.74,2.99,3.51,6.31,6.24,5.04,2.03,4.57,8.19,3.47,1.03,5.98,53.1
1974,3.63,0.79,4.26,5.15,3.31,4.79,1.56,2.73,4.88,1.55,2.31,4.03,38.99
1975,4.32,3.98,4.86,3.7,4.05,7.6,3.12,2.01,13.84,4.52,3.39,2.62,58.01
1976,4.33,1.59,2.01,3.07,5.68,2.63,4.86,2.62,4.49,12.09,0.51,1.63,45.51
1977,1.23,0.98,5.5,4.22,0.88,2.91,5.04,2.57,2.48,3.54,5.31,5.02,39.68
1978,7.7,0.8,3.37,1.44,5.67,3.24,7.98,2.46,1.45,2.57,2.7,3.98,43.36
1979,7.98,4.23,3.05,3.87,4.03,2.41,3.19,4.89,8.99,4.37,2.69,1.51,51.21
1980,1.1,0.57,6.84,4.66,4.49,4.02,1.48,1.71,1.53,2.55,3.94,0.86,33.75
1981,0.26,7.55,1.3,3.23,3.17,4.14,2.79,4.08,3.02,4.09,1.02,2.05,36.7
1982,3.79,2.53,2.02,4.17,2.13,6.73,2.68,1.6,2.65,1.62,3.42,1.75,35.09
1983,1.92,2.41,4.26,8.18,4.98,4.42,0.83,2.01,2.05,5.34,4.74,6.58,47.72
1984,1.24,6.08,5.04,4.26,4.77,4.41,6.3,8.24,1.11,2.37,4.3,1.87,49.99
1985,1.15,2.59,,1.07,5.82,2.83,7.1,3.32,2,1.94,7.67,1.58,
1986,1.22,3.98,2.34,3.24,2.92,2.06,2.14,3.97,1.86,2.46,4.86,5.38,36.43
1987,3.15,0.73,1.91,3.78,3.82,2.09,2.16,2.11,9.56,2.34,4.24,2.38,38.27
1988,2.15,2.81,1.5,2.48,5.9,0.73,2.59,4.41,3.08,1.48,3.83,1.07,32.03
1989,2.53,2.09,4.01,1.57,8.81,7.55,7.05,3.04,2.04,5.11,2.64,0.59,47.03
1990,4.73,1.73,1.5,3.04,6.42,0.91,4.58,6.1,1.52,7.5,1.66,6.89,46.58
1991,2.87,1.41,3.97,2.38,2.73,0.37,1.27,4.77,3.93,3.18,2.13,3.69,32.7
1992,1.82,2.07,5.56,4.07,4.4,1.68,5.24,1,5.7,2.36,5.95,3.94,43.79
1993,2.37,4.49,6.38,7.8,1.62,2.72,4.03,2.37,10.19,3.17,5.12,3.66,53.92
1994,5.22,3.79,6.78,1.79,5.04,2.92,4.72,4.99,2.93,0.7,5.93,2.43,47.24
1995,5.51,1.68,1.05,1.73,3.76,5.95,5.52,0.82,2.69,6.08,3.91,2.62,41.32
1996,7.97,2.14,4.66,3.29,6.21,8.86,5.81,3.57,9.09,4.28,3.02,6.54,65.44
1997,2.22,1.7,4.72,1.66,2.72,2.58,2.98,2.68,5.72,1.77,6.27,2.48,37.5
1998,6.4,6.62,5.54,4.67,5.84,3.96,4.29,2.08,1,2.31,0.73,0.56,44
1999,6.95,1.93,3.65,4.36,2.42,1.3,1.15,3.87,7.71,3.1,1.89,2.5,40.83
2000,2.17,2.95,4.93,4.1,4.66,3.98,3.77,2.82,8.76,0.7,2.81,2.54,44.19
2001,2.54,1.04,4.88,2.42,2.98,2.3,1.46,4.06,3.55,0.76,1.74,2.09,29.82
2002,2.37,0.44,4.67,3.56,4.1,3.3,1.54,3.48,5.38,6.85,3.9,3.83,43.42
2003,2.42,3.96,4,3.31,7.19,8.22,2.1,4.16,7.45,4.3,3.89,3.56,54.56
2004,2.42,2.91,1.65,5.72,4.58,9.44,4.23,5.96,8.7,1.54,5.4,3.52,56.07
2005,4.21,1.68,4.34,4.57,2.09,2.95,4.71,4.12,0.27,6.9,3.05,,
2006,4.51,2.57,0.66,3.52,2.95,8.92,2.02,1.01,3.54,4.86,4.46,2.33,41.35
2007,2.39,2.8,3.84,3.7,1.89,2.35,1.56,4.75,1.29,4.09,2.38,5.29,36.33
2008,1.48,4.7,3.81,5.06,6.2,3.17,4.07,2.59,8.01,1.94,2.13,6.13,49.29
2009,2.28,0.58,1.41,4.43,7.16,4.68,4.53,4.05,3.27,5.87,1.58,5.85,45.69
2010,3.87,3.67,3.27,1.96,3.69,2.14,2.36,2.86,4.91,4.84,2.64,2.48,38.69
2011,1.79,,,,5.15,1.4,,,,,,3.02,
2012,3.31,,,,,,4.43,,,6.3,0.88,,
2013,3.43,1.92,2.15,2.13,2.9,5.25,3.54,4.34,1.87,7.83,2.59,3.53,41.48
2014,2.17,3.03,3.19,4.27,5.89,4.34,2.07,5.63,1.59,4.99,2.68,2.73,42.58
2015,2.29,1.23,3.48,3.52,2.35,12.52,3.41,6.8,4.13,3.13,1.36,2.75,46.97
2016,4.35,4.63,1.65,1.63,5.04,3.07,1.27,2.82,6.93,1.48,1.28,3.18,37.33
2017,3.12,0.75,2.54,3.35,5.99,2.42,4.47,3.84,1.87,6.48,2.28,0.99,38.1
2018,4.37,4.48,1.75,4.79,5.14,4.5,9.36,5.18,11.5,2.73,6.59,5.79,66.18
2019,4.37,3.06,4.25,4.07,6.98,3.69,6.89,1.8,0.49,6.34,3.03,3.61,48.58
2020,2.73,2.06,3.07,4.1,4.67,2.75,2.71,3.02,2.49,2.2,2.08,4.49,36.37
2021,1.17,2.53,2.74,2.62,3.75,2.71,2.81,2.54,9.32,3.7,1.55,0.96,36.4
2022,2.17,3.02,1.53,3.61,6.32,3.46,2.41,4.78,3.62,3.06,2.86,5.2,42.04
2023,5.23,1.01,2.42,3.78,1.05,2.48,5.63,2.69,4.28,2.3,2.45,4.47,37.79
2024,6.37,2.02,3.09,4.63,3.76,,,,,,,,
